#
#  Times of cadences affected by momentum dumps
#  Created Thu Oct  9 00:03:05 EDT 2025 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-07-28 08:03:42.378474 UTC, 1327.83670789, 1216800240.0, 72275, 4818
2018-07-28 08:05:42.378426 UTC, 1327.83809678, 1216800360.0, 72276, 4818
2018-07-28 08:07:42.378378 UTC, 1327.83948567, 1216800480.0, 72277, 4818
2018-07-28 08:09:42.378331 UTC, 1327.84087456, 1216800600.0, 72278, 4818
2018-07-28 08:11:42.378283 UTC, 1327.84226345, 1216800720.0, 72279, 4818
2018-07-28 08:13:42.378235 UTC, 1327.84365233, 1216800840.0, 72280, 4818
2018-07-28 08:15:42.378188 UTC, 1327.84504122, 1216800960.0, 72281, 4818
2018-07-28 08:17:42.378140 UTC, 1327.84643011, 1216801080.0, 72282, 4818
2018-07-30 20:03:42.292705 UTC, 1330.33670690, 1217016240.0, 74075, 4938
2018-07-30 20:05:42.292657 UTC, 1330.33809579, 1217016360.0, 74076, 4938
2018-07-30 20:07:42.292610 UTC, 1330.33948467, 1217016480.0, 74077, 4938
2018-07-30 20:09:42.292562 UTC, 1330.34087356, 1217016600.0, 74078, 4938
2018-07-30 20:11:42.292514 UTC, 1330.34226245, 1217016720.0, 74079, 4938
2018-07-30 20:13:42.292467 UTC, 1330.34365134, 1217016840.0, 74080, 4938
2018-07-30 20:15:42.292419 UTC, 1330.34504023, 1217016960.0, 74081, 4938
2018-07-30 20:17:42.292371 UTC, 1330.34642912, 1217017080.0, 74082, 4938
2018-08-02 08:03:42.206936 UTC, 1332.83670590, 1217232240.0, 75875, 5058
2018-08-02 08:05:42.206888 UTC, 1332.83809479, 1217232360.0, 75876, 5058
2018-08-02 08:07:42.206841 UTC, 1332.83948368, 1217232480.0, 75877, 5058
2018-08-02 08:09:42.206793 UTC, 1332.84087257, 1217232600.0, 75878, 5058
2018-08-02 08:11:42.206745 UTC, 1332.84226146, 1217232720.0, 75879, 5058
2018-08-02 08:13:42.206698 UTC, 1332.84365035, 1217232840.0, 75880, 5058
2018-08-02 08:15:42.206650 UTC, 1332.84503923, 1217232960.0, 75881, 5058
2018-08-02 08:17:42.206602 UTC, 1332.84642812, 1217233080.0, 75882, 5058
2018-08-04 20:03:42.121167 UTC, 1335.33670491, 1217448240.0, 77675, 5178
2018-08-04 20:05:42.121119 UTC, 1335.33809380, 1217448360.0, 77676, 5178
2018-08-04 20:07:42.121072 UTC, 1335.33948269, 1217448480.0, 77677, 5178
2018-08-04 20:09:42.121024 UTC, 1335.34087158, 1217448600.0, 77678, 5178
2018-08-04 20:11:42.120977 UTC, 1335.34226046, 1217448720.0, 77679, 5178
2018-08-04 20:13:42.120929 UTC, 1335.34364935, 1217448840.0, 77680, 5178
2018-08-04 20:15:42.120881 UTC, 1335.34503824, 1217448960.0, 77681, 5178
2018-08-04 20:17:42.120834 UTC, 1335.34642713, 1217449080.0, 77682, 5178
2018-08-07 08:03:42.035398 UTC, 1337.83670392, 1217664240.0, 79475, 5298
2018-08-07 08:05:42.035351 UTC, 1337.83809281, 1217664360.0, 79476, 5298
2018-08-07 08:07:42.035303 UTC, 1337.83948169, 1217664480.0, 79477, 5298
2018-08-07 08:09:42.035255 UTC, 1337.84087058, 1217664600.0, 79478, 5298
2018-08-07 08:11:42.035208 UTC, 1337.84225947, 1217664720.0, 79479, 5298
2018-08-07 08:13:42.035160 UTC, 1337.84364836, 1217664840.0, 79480, 5298
2018-08-07 08:15:42.035112 UTC, 1337.84503725, 1217664960.0, 79481, 5298
2018-08-07 08:17:42.035065 UTC, 1337.84642614, 1217665080.0, 79482, 5298
2018-08-09 03:23:41.973454 UTC, 1339.64225876, 1217820240.0, 80775, 5384
2018-08-09 03:25:41.973407 UTC, 1339.64364764, 1217820360.0, 80776, 5384
2018-08-09 03:27:41.973359 UTC, 1339.64503653, 1217820480.0, 80777, 5384
2018-08-09 03:29:41.973311 UTC, 1339.64642542, 1217820600.0, 80778, 5385
2018-08-09 03:31:41.973264 UTC, 1339.64781431, 1217820720.0, 80779, 5385
2018-08-09 03:33:41.973216 UTC, 1339.64920320, 1217820840.0, 80780, 5385
2018-08-09 03:35:41.973168 UTC, 1339.65059209, 1217820960.0, 80781, 5385
2018-08-09 03:37:41.973121 UTC, 1339.65198097, 1217821080.0, 80782, 5385
2018-08-09 03:39:41.973073 UTC, 1339.65336986, 1217821200.0, 80783, 5385
2018-08-09 03:41:41.973025 UTC, 1339.65475875, 1217821320.0, 80784, 5385
2018-08-09 03:43:41.972978 UTC, 1339.65614764, 1217821440.0, 80785, 5385
2018-08-09 03:45:41.972930 UTC, 1339.65753653, 1217821560.0, 80786, 5385
