,TIC,sec,ec_long,ec_lat,num_s
0,42969,38,225.9868511033093,-10.269982049921518,4
1,42969,65,225.9868511033093,-10.269982049921518,4
2,42969,91,225.9868511033093,-10.269982049921518,4
3,42969,115,225.9868511033093,-10.269982049921518,4
4,82063,11,226.78493077071934,-8.984814473367779,5
5,82063,38,226.78493077071934,-8.984814473367779,5
6,82063,65,226.78493077071934,-8.984814473367779,5
7,82063,91,226.78493077071934,-8.984814473367779,5
8,82063,115,226.78493077071934,-8.984814473367779,5
9,82066,11,226.78272451821292,-8.98423726620776,5
10,82066,38,226.78272451821292,-8.98423726620776,5
11,82066,65,226.78272451821292,-8.98423726620776,5
12,82066,91,226.78272451821292,-8.98423726620776,5
13,82066,115,226.78272451821292,-8.98423726620776,5
14,34920,38,225.8102235402615,-10.636938563874399,4
15,34920,65,225.8102235402615,-10.636938563874399,4
16,34920,91,225.8102235402615,-10.636938563874399,4
17,34920,115,225.8102235402615,-10.636938563874399,4
18,58487,38,226.04103486490888,-8.749482466700599,4
19,58487,65,226.04103486490888,-8.749482466700599,4
20,58487,91,226.04103486490888,-8.749482466700599,4
21,58487,115,226.04103486490888,-8.749482466700599,4
22,39896,38,225.82177649389496,-10.14089883979374,4
23,39896,65,225.82177649389496,-10.14089883979374,4
24,39896,91,225.82177649389496,-10.14089883979374,4
25,39896,115,225.82177649389496,-10.14089883979374,4
26,93155,11,227.1377684425262,-9.06307863320179,5
27,93155,38,227.1377684425262,-9.06307863320179,5
28,93155,65,227.1377684425262,-9.06307863320179,5
29,93155,91,227.1377684425262,-9.06307863320179,5
30,93155,115,227.1377684425262,-9.06307863320179,5
31,129383,11,227.67836961185145,-7.51612567230739,4
32,129383,38,227.67836961185145,-7.51612567230739,4
33,129383,91,227.67836961185145,-7.51612567230739,4
34,129383,115,227.67836961185145,-7.51612567230739,4
35,99010,11,227.57541496194034,-9.998530376915522,5
36,99010,38,227.57541496194034,-9.998530376915522,5
37,99010,65,227.57541496194034,-9.998530376915522,5
38,99010,91,227.57541496194034,-9.998530376915522,5
39,99010,115,227.57541496194034,-9.998530376915522,5
40,102030,11,227.33682937080488,-8.856731972303837,5
41,102030,38,227.33682937080488,-8.856731972303837,5
42,102030,65,227.33682937080488,-8.856731972303837,5
43,102030,91,227.33682937080488,-8.856731972303837,5
44,102030,115,227.33682937080488,-8.856731972303837,5
45,368759,92,278.25965282657455,2.3456197269674677,2
46,368759,116,278.25965282657455,2.3456197269674677,2
47,16560023,80,274.97736672031766,12.065766807579111,4
48,16560023,91,274.97736672031766,12.065766807579111,4
49,16560023,92,274.97736672031766,12.065766807579111,4
50,16560023,118,274.97736672031766,12.065766807579111,4
51,20066082,8,143.2574029004551,-25.896364407611102,5
52,20066082,35,143.2574029004551,-25.896364407611102,5
53,20066082,61,143.2574029004551,-25.896364407611102,5
54,20066082,112,143.2574029004551,-25.896364407611102,5
55,20066082,113,143.2574029004551,-25.896364407611102,5
56,20072435,5,88.22923314965753,-61.53719200892733,7
57,20072435,6,88.22923314965753,-61.53719200892733,7
58,20072435,32,88.22923314965753,-61.53719200892733,7
59,20072435,33,88.22923314965753,-61.53719200892733,7
60,20072435,87,88.22923314965753,-61.53719200892733,7
61,20072435,98,88.22923314965753,-61.53719200892733,7
62,20072435,108,88.22923314965753,-61.53719200892733,7
63,20204058,23,208.52938222707203,51.06053432315135,6
64,20204058,24,208.52938222707203,51.06053432315135,6
65,20204058,50,208.52938222707203,51.06053432315135,6
66,20204058,51,208.52938222707203,51.06053432315135,6
67,20204058,77,208.52938222707203,51.06053432315135,6
68,20204058,78,208.52938222707203,51.06053432315135,6
69,40102926,3,3.0560580535574884,-12.325428394183712,3
70,40102926,30,3.0560580535574884,-12.325428394183712,3
71,40102926,70,3.0560580535574884,-12.325428394183712,3
