,TIC,ec_long,ec_lat,num_s,sec
0,42969,225.9868511033093,-10.269982049921518,4,"[38, 65, 91, 115]"
1,82063,226.78493077071934,-8.984814473367779,5,"[11, 38, 65, 91, 115]"
2,82066,226.78272451821292,-8.98423726620776,5,"[11, 38, 65, 91, 115]"
3,34920,225.8102235402615,-10.636938563874399,4,"[38, 65, 91, 115]"
4,58487,226.04103486490888,-8.749482466700599,4,"[38, 65, 91, 115]"
5,39896,225.82177649389496,-10.14089883979374,4,"[38, 65, 91, 115]"
6,93155,227.1377684425262,-9.06307863320179,5,"[11, 38, 65, 91, 115]"
7,129383,227.67836961185145,-7.51612567230739,4,"[11, 38, 91, 115]"
8,99010,227.57541496194034,-9.998530376915522,5,"[11, 38, 65, 91, 115]"
9,102030,227.33682937080488,-8.856731972303837,5,"[11, 38, 65, 91, 115]"
10,368759,278.25965282657455,2.3456197269674677,2,"[92, 116]"
11,16560023,274.97736672031766,12.065766807579111,4,"[80, 91, 92, 118]"
12,20066082,143.2574029004551,-25.896364407611102,5,"[8, 35, 61, 112, 113]"
13,20072435,88.22923314965753,-61.53719200892733,7,"[5, 6, 32, 33, 87, 98, 108]"
14,20204058,208.52938222707203,51.06053432315135,6,"[23, 24, 50, 51, 77, 78]"
15,40102926,3.0560580535574884,-12.325428394183712,3,"[3, 30, 70]"
16,49934962,56.89004717663652,-21.147987713555718,2,"[5, 109]"
17,56812239,184.08154678150345,-1.589442547675181,3,"[46, 91, 115]"
18,72461450,198.3727781674674,23.324332833996156,2,"[23, 50]"
19,77490014,49.357402810964544,13.265862497125722,2,"[18, 85]"
20,558452,301.65873134140685,18.24011248671711,1,[81]
21,619444,204.66743708495673,1.1974097121732057,2,"[91, 115]"
22,619638,204.41886551119404,1.9813786542753955,2,"[91, 115]"
23,589826,64.38846705055582,-49.90438704861373,6,"[5, 32, 98, 106, 108, 109]"
24,621750,206.05186947682003,-1.583658852818001,2,"[91, 115]"
25,681678,68.06355218688977,-47.94664596763278,6,"[5, 32, 98, 106, 107, 109]"
26,748290,301.63232285698325,15.157968658744664,2,"[54, 81]"
27,20297048,91.24388282270935,-60.98296554373123,7,"[5, 6, 32, 33, 87, 98, 108]"
28,20297375,91.26345425965627,-60.30874641829194,6,"[6, 32, 33, 87, 98, 108]"
29,20278256,276.40508901404496,16.69796470904921,2,"[80, 118]"
30,20304188,210.95371899907906,52.45719788584064,5,"[24, 50, 51, 77, 78]"
31,20319492,180.5066516185574,-30.645700470163018,7,"[9, 36, 63, 90, 100, 113, 114]"
32,20416870,180.26147604672167,-28.57931910761359,7,"[9, 36, 63, 90, 100, 113, 114]"
33,20420151,125.97460797863563,-4.7089490908852545,5,"[44, 45, 46, 71, 72]"
34,20427136,180.69814515037595,-28.75570971523221,7,"[9, 36, 63, 90, 100, 113, 114]"
35,20402401,85.94068146556597,-4.398791172467952,5,"[43, 44, 45, 71, 72]"
36,40295987,303.2331417915441,52.028694877854484,8,"[14, 40, 41, 54, 74, 81, 119, 120]"
37,40468289,304.2649342805289,53.89799787709466,8,"[14, 40, 41, 54, 74, 75, 119, 120]"
38,842202,278.81840347413134,1.7515016199545597,2,"[92, 116]"
39,915512,140.03172372301458,-20.991847307232163,7,"[8, 34, 61, 88, 99, 112, 113]"
40,887930,327.0426583985125,3.273087665707158,3,"[42, 92, 116]"
41,20610859,291.5071101030162,55.35952345860046,9,"[14, 26, 40, 53, 54, 74, 80, 81, 119]"
42,20601206,291.2900593796552,55.29096260804385,9,"[14, 26, 40, 53, 54, 74, 80, 81, 119]"
43,40535161,180.45854342861915,-14.212717415297735,5,"[9, 36, 63, 90, 114]"
44,40671033,247.35718024461355,13.792549544812648,1,[117]
45,40676045,247.81555976916812,12.065671636942806,2,"[91, 117]"
46,80080066,321.2362496152348,-18.834715773994446,5,"[1, 28, 68, 95, 106]"
47,1008153,167.22914688906778,-6.289556609206779,4,"[9, 45, 46, 72]"
48,1026619,167.68455840731278,-6.669037174470663,3,"[9, 36, 45]"
49,1038216,136.67688017886218,-29.074289715672727,6,"[8, 34, 61, 88, 99, 112]"
50,1030004,28.18286632083519,-21.688146607404317,3,"[4, 97, 108]"
51,1031383,28.244860724254618,-22.0896976830623,3,"[4, 97, 108]"
52,1043986,146.6958775063998,14.157685552242002,2,"[21, 48]"
53,1023759,328.53446176386683,3.641507381022749,3,"[42, 92, 116]"
54,1042770,145.2108155321095,17.302662222150335,2,"[21, 48]"
55,1042868,145.50495981665793,16.738624643514665,2,"[21, 48]"
56,1066957,146.3615752142063,15.704388107412946,2,"[21, 48]"
57,20704462,53.76375563701836,29.357829907177496,3,"[18, 58, 85]"
58,20749811,349.3628807845453,32.936003584651004,2,"[56, 83]"
59,20779517,292.08807065450134,55.430025032805425,8,"[14, 40, 53, 54, 74, 80, 81, 119]"
